age,sex,risk,alive,expectation
60,0,0.007658,"90,217",24.12
61,0,0.008305,"89,526",23.31
62,0,0.008991,"88,782",22.5
63,0,0.009681,"87,984",21.7
64,0,0.010343,"87,132",20.9
65,0,0.011018,"86,231",20.12
66,0,0.011743,"85,281",19.34
67,0,0.012532,"84,279",18.56
68,0,0.013512,"83,223",17.79
69,0,0.014684,"82,099",17.03
70,0,0.016025,"80,893",16.27
71,0,0.017468,"79,597",15.53
72,0,0.019195,"78,206",14.8
73,0,0.021195,"76,705",14.08
74,0,0.023452,"75,079",13.37
75,0,0.02598,"73,319",12.68
76,0,0.029153,"71,414",12
77,0,0.032394,"69,332",11.35
78,0,0.035888,"67,086",10.71
79,0,0.039676,"64,678",10.09
80,0,0.044156,"62,112",9.49
81,0,0.049087,"59,370",8.9
82,0,0.054635,"56,455",8.34
83,0,0.061066,"53,371",7.79
84,0,0.068431,"50,112",7.26
85,0,0.076841,"46,683",6.76
86,0,0.086205,"43,095",6.28
87,0,0.096851,"39,380",5.83
88,0,0.109019,"35,566",5.4
89,0,0.121867,"31,689",5
90,0,0.135805,"27,827",4.62
91,0,0.151108,"24,048",4.27
92,0,0.16802,"20,414",3.94
93,0,0.18634,"16,984",3.64
94,0,0.206432,"13,819",3.36
95,0,0.228086,"10,967",3.1
96,0,0.250406,"8,465",2.87
97,0,0.273699,"6,346",2.66
98,0,0.296984,"4,609",2.47
99,0,0.319502,"3,240",2.3
100,0,0.342716,"2,205",2.14
101,0,0.366532,"1,449",2
102,0,0.390844,918,1.87
103,0,0.415531,559,1.75
104,0,0.440463,327,1.63
105,0,0.466891,183,1.52
106,0,0.494904,97,1.42
107,0,0.524599,49,1.32
108,0,0.556075,23,1.23
109,0,0.589439,10,1.14
110,0,0.624805,4,1.05
111,0,0.662294,2,0.97
112,0,0.702031,1,0.89
113,0,0.744153,0,0.82
114,0,0.788125,0,0.75
115,0,0.827531,0,0.7
116,0,0.868907,0,0.64
117,0,0.912353,0,0.59
118,0,0.95797,0,0.54
119,0,1,0,0.5
